method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE-B,future_f,8,5,444806.82784375,4632916.15109375,2,False,-1.6666666666666667,-1.6666666666666667,-2.5,-0.8333333333333334,0.0,0.5,0.5,0.0
BRIDGE-B,future_f,8,6,444806.82784375,4635309.64165625,22,True,-73.04545454545455,-109.66666666666666,-164.75,-0.8333333333333334,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.09090909090909091
BRIDGE-B,future_f,8,7,444806.82784375,4637703.13221875,38,True,-183.80701754385964,-166.0,-329.6666666666667,-51.166666666666664,0.05263157894736842,0.07894736842105263,0.868421052631579,0.05263157894736842
BRIDGE-B,future_f,8,8,444806.82784375,4640096.62278125,39,True,-52.64102564102564,-3.0,-188.16666666666669,108.0,0.38461538461538464,0.10256410256410256,0.5128205128205128,0.3333333333333333
BRIDGE-B,future_f,8,9,444806.82784375,4642490.11334375,58,True,-50.27586206896552,-2.0,-212.75,163.0,0.41379310344827586,0.06896551724137931,0.5172413793103449,0.3793103448275862
BRIDGE-B,future_f,8,10,444806.82784375,4644883.60390625,42,True,-62.34126984126984,0.0,-192.08333333333334,22.916666666666664,0.3333333333333333,0.19047619047619047,0.47619047619047616,0.21428571428571427
BRIDGE-B,future_f,8,11,444806.82784375,4647277.09446875,23,True,70.02898550724638,20.0,-65.83333333333333,308.0,0.6086956521739131,0.0,0.391304347826087,0.5652173913043478
BRIDGE-B,future_f,8,12,444806.82784375,4649670.5850312505,18,True,35.31481481481481,0.0,-12.0,35.0,0.4444444444444444,0.2777777777777778,0.2777777777777778,0.4444444444444444
BRIDGE-B,future_f,8,13,444806.82784375,4652064.07559375,8,True,27.625,0.0,0.0,10.5,0.25,0.75,0.0,0.125
BRIDGE-B,future_f,9,4,445888.94053125003,4630522.66053125,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,9,5,445888.94053125003,4632916.15109375,7,True,34.047619047619044,0.0,-50.66666666666667,109.5,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0
BRIDGE-B,future_f,9,6,445888.94053125003,4635309.64165625,50,True,-74.83333333333334,-83.5,-307.5,73.75,0.42,0.0,0.58,0.22
BRIDGE-B,future_f,9,7,445888.94053125003,4637703.13221875,66,True,-166.76262626262624,-62.666666666666664,-477.5833333333333,20.333333333333332,0.2878787878787879,0.10606060606060606,0.6060606060606061,0.18181818181818182
