source,target,length_m,highway,osm_way_id
740237258,27440241,13.88,secondary,5010709
740237258,740237259,23.307,secondary,5010709
740237259,740237258,23.307,secondary,5010709
740237259,2787305637,18.624,secondary,5010709
2787305637,740237259,18.624,secondary,5010709
2787305637,27440234,15.645,secondary,5010709
27440234,2787305637,15.645,secondary,5010709
740237207,258920785,98.568,secondary,5010711
7132136357,4334632940,21.7,secondary,5010717
349900122,2991691140,43.309,motorway_link,5010719
2991691140,2991691143,216.788,motorway_link,5010719
2991691143,349900123,118.983,motorway_link,5010719
349900123,349900124,53.189,motorway_link,5010719
349900124,2993041269,35.033,motorway_link,5010719
2993041269,2993041271,44.877,motorway_link,5010719
2993041271,349900125,37.405,motorway_link,5010719
349900125,349854162,39.03,motorway_link,5010719
262185639,7506700835,40.593,secondary,5015170
7506700835,262185639,40.593,secondary,5015170
7506700835,2222314760,30.364,secondary,5015170
2222314760,7506700835,30.364,secondary,5015170
2222314760,704990299,70.417,secondary,5015170
704990299,2222314760,70.417,secondary,5015170
704990299,3815283558,52.184,secondary,5015170
3815283558,704990299,52.184,secondary,5015170
3815283558,9283888922,3.487,secondary,5015170
9283888922,3815283558,3.487,secondary,5015170
9283888922,2565193664,70.725,secondary,5015170
2565193664,9283888922,70.725,secondary,5015170
2565193664,704990298,12.828,secondary,5015170
704990298,2565193664,12.828,secondary,5015170
261148693,2281926098,53.034,residential,5016263
2281926098,261148693,53.034,residential,5016263
2281926098,7182430771,51.457,residential,5016263
7182430771,2281926098,51.457,residential,5016263
33718410,272206538,16.103,secondary,5041445
272206538,33718410,16.103,secondary,5041445
349820645,2565222793,14.996,primary,5043580
2565222793,5821630337,21.575,primary,5043580
5821630337,253960126,35.055,primary,5043580
253960126,1318401249,82.225,primary,5043580
5912280914,1643577758,26.093,residential,5043581
1643577758,1107013921,9.306,residential,5043581
1107013921,5911912988,9.528,residential,5043581
5911912988,288596563,115.964,residential,5043581
288596563,5911887555,188.758,residential,5043581
5911887555,33392330,7.898,residential,5043581
33392330,1642947399,11.371,residential,5043581
1642947399,1642947732,46.478,residential,5043581
1642947732,1642947437,1.135,residential,5043581
1642947437,5911823473,120.516,residential,5043581
