node_id,lon,lat,x_m,y_m
305527033,-87.6925385,41.9776839,442625.424,4647530.422
305527051,-87.6926214,41.9785898,442619.369,4647631.059
305527080,-87.6926934,41.9795085,442614.229,4647733.11
305527123,-87.6927692,41.980433,442608.779,4647835.807
305527126,-87.6928358,41.9813431,442604.079,4647936.9
305527217,-87.6942794,41.9826302,442485.646,4648080.774
305527290,-87.6893531,41.9813801,442892.628,4647938.68
305527332,-87.6892885,41.9795275,442896.324,4647732.944
305527376,-87.6916562,41.9783615,442699.127,4647605.065
305528499,-87.7013602,41.9757992,441892.857,4647327.112
305528526,-87.704404,41.9757766,441640.659,4647326.672
305528528,-87.7050462,41.9757687,441587.445,4647326.232
305528903,-87.7062637,41.975768,441486.575,4647326.985
305528905,-87.7074628,41.9757618,441387.225,4647327.117
305529053,-87.7098898,41.9757328,441186.122,4647325.56
305529055,-87.7110969,41.9757205,441086.102,4647325.024
305529056,-87.7159934,41.9756673,440680.379,4647322.496
305529057,-87.7135538,41.9756925,440882.523,4647323.608
305529087,-87.7172259,41.9756545,440578.255,4647321.93
305529088,-87.7182937,41.9756435,440489.777,4647321.449
305529089,-87.7196776,41.9756291,440375.108,4647320.813
305529177,-87.7245911,41.9755677,439967.967,4647317.427
305529238,-87.7258023,41.9755539,439867.606,4647316.745
305529331,-87.727534,41.9755337,439724.116,4647315.719
305529332,-87.7270211,41.97554,439766.615,4647316.058
305529334,-87.7243289,41.9755718,439989.694,4647317.699
305529335,-87.7238269,41.9755862,440031.298,4647318.946
305531404,-87.7502457,41.9847972,437851.458,4648360.471
305531474,-87.7503934,41.9847282,437839.156,4648352.917
305531954,-87.7492628,41.9753171,437923.673,4647307.188
305531957,-87.7477172,41.9753456,438051.754,4647309.233
305531958,-87.7472955,41.9753495,438086.696,4647309.361
305532054,-87.7506477,41.9753008,437808.917,4647306.382
305532080,-87.751858,41.9754723,437708.811,4647326.303
305532193,-87.7553597,41.9785019,437421.66,4647665.23
305532355,-87.748088,41.9779385,438023.547,4647597.39
305532375,-87.7481167,41.9789898,438022.189,4647714.136
305532408,-87.7481439,41.9800374,438020.951,4647830.47
305532642,-87.7521385,41.9835804,437693.476,4648226.745
305532688,-87.7518686,41.9819454,437714.241,4648045.016
305532783,-87.7479238,41.9822486,438041.329,4648075.819
305532794,-87.7479186,41.982009,438041.528,4648049.212
305533026,-87.7497695,41.984026,437890.156,4648274.5
305533028,-87.7492182,41.9834281,437935.245,4648207.715
305533051,-87.7489823,41.9834129,437954.772,4648205.857
305533052,-87.7495197,41.9840064,437910.83,4648272.142
305534104,-87.7671125,41.9838763,436453.329,4648270.601
305534122,-87.765897,41.983261,436553.409,4648201.383
305534542,-87.7700557,41.9772512,436202.903,4647537.207
305576646,-87.7507796,41.985537,437807.951,4648442.998
305577367,-87.7511295,41.9862718,437779.682,4648524.837
305577369,-87.7507392,41.994666,437820.183,4649456.559
305577370,-87.7503338,41.9964136,437855.461,4649650.3
305577371,-87.749783,41.9978131,437902.44,4649805.287
305577372,-87.7489749,41.9999172,437971.412,4650038.319
305577373,-87.7487451,42.0011728,437991.663,4650177.562
305577374,-87.7486487,42.0043848,438002.764,4650534.12
305577376,-87.7486908,42.0077682,438002.563,4650909.809
305577377,-87.7491886,42.0095176,437963.041,4651104.406
305577378,-87.7517502,42.0130835,437754.402,4651502.188
305577379,-87.7552494,42.0154274,437466.96,4651764.982
305577380,-87.7636806,42.0200406,436773.44,4652283.38
305577381,-87.7653431,42.0212174,436636.966,4652415.27
305577382,-87.7667534,42.0226166,436521.598,4652571.669
